original_id,validator_id,prompt,sentence,choice_a,choice_b,pattern,based_on,original_key,original_explanation,validator_answer,validator_explanation,annotators_agree,notes,from_exp2
jbo_1,36,"Consider the English sentence ""I think we need to hurry up.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) mi pensi lo du'u mi'a nitcu lo ka sutryze'a
(B) mi jinvi lo du'u mi'a nitcu lo ka sutryze'a

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",I think we need to hurry up.,mi pensi lo du'u mi'a nitcu lo ka sutryze'a,mi jinvi lo du'u mi'a nitcu lo ka sutryze'a,1,,B,"pensi means to ponder, while ""jinvi"" means to opine.",B,"The sense of ""think"" here is that of ""opine"". This translates to ""jinvi"" (""to opine""), not to ""pensi"" (""to think"").",1,,0
jbo_2,92,"Consider the English sentence ""Did you drink apple tea?""
Which of the following is a better translation of this sentence into standard Lojban?

(A) do pinxe lo plise tcati ku xu
(B) do pinxe lo tcati plise ku xu

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",Did you drink apple tea?,do pinxe lo plise tcati ku xu,do pinxe lo tcati plise ku xu,2,,A,"Compounds are head-final, i.e. modifier before modificand, unless inverted by ""co"". As such, ""lo tcati plise"" in B means ""the tea apple"", not ""the apple tea"".",A,"""plise tcati"" means ""apple tea"", while ""tcati plise"" means ""tea apple"".",1,,0
jbo_3,81,"Consider the English sentence ""The picture was made to shock visitors.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) lo pixra cu se finti lo ka jai spaji lo vitke
(B) lo pixra cu se finti fi lo ka jai spaji lo vitke

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",The picture was made to shock visitors.,lo pixra cu se finti lo ka jai spaji lo vitke,lo pixra cu se finti fi lo ka jai spaji lo vitke,3,,B,"se finti takes the purpose as its third argument. The second argument is omitted, so the third must be marked with ""fi"", as in B.",B,"The place structure of ""finti"" is ""x1 invents/creates x2 for purpose x3 out of ideas x4"".

The argument ""lo ka jai spaji lo vitke"" (""to shock the visitors"") is meant to go in the third argument place, so it needs to be preceded by the x3-place tag ""fi"".",1,,0
jbo_4,68,"Consider the English sentence ""Put the books on the table into your bag.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) ko punji lo cukta poi cpana lo jubme ku'o lo dakli pe do
(B) ko punji lo cukta poi cpana lo jubme ku lo dakli pe do

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",Put the books on the table into your bag.,ko punji lo cukta poi cpana lo jubme ku'o lo dakli pe do,ko punji lo cukta poi cpana lo jubme ku lo dakli pe do,4,,A,"In B, ""ku"" closes only the argument ""lo jubme ku"", so ""lo dakli pe do"" falls within the relative clause started by ""poi"", resulting in a nonsensical meaning. The relative clause must be closed with ""ku'o"" for ""lo dakli pe do"" to count as part of the top-level sentence.",A,"The relative clause needs to be closed to prevent ""lo dakli pe do"" (""your bag"") from being absorbed into it. The relative clause terminator ""ku'o"" does this in (A). ""ku"" alone is not sufficient as it only terminates the determiner phrase ""lo jubme"" (""the table"").",1,,0
jbo_5,54,"Consider the English sentence ""Our restaurant is popular with Mexicans, Serbs and Indians.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) lo gusta pe mi'a lo mexno je serbo je xindo ta'e se vitke
(B) lo gusta pe mi'a lo mexno .e lo serbo .e lo xindo ta'e se vitke

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:","Our restaurant is popular with Mexicans, Serbs and Indians.",lo gusta pe mi'a lo mexno je serbo je xindo ta'e se vitke,lo gusta pe mi'a lo mexno .e lo serbo .e lo xindo ta'e se vitke,5,,B,"Connecting on predicate level with ""je"" within an argument, as in A, results in an argument that satisfies all of the predicates at once (in this case, people who are simultaneously Mexican and Serbian and Indian). The English is better translated by connecting separate arguments, as in B.",B,"The connective ""je"" (""and"") joins predicates, while the connective "".e"" (""and"") joins arguments.

""lo mexno je serbo je xindo"" (A) refers to something/someone that is all of Mexican, Serbian and Indian at once.

""lo mexno .e lo serbo .e lo xindo"" (B) contains three connected but separate arguments: something/someone Mexican, something/someone Serbian, and something/someone Indian.",1,,0
jbo_6,15,"Consider the English sentence ""She gave a copy to everyone that came by.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) ra dunda fi ro lamgre fe su'o fukpi
(B) ra dunda su'o fukpi ro lamgre

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",She gave a copy to everyone that came by.,ra dunda fi ro lamgre fe su'o fukpi,ra dunda su'o fukpi ro lamgre,6,,A,"With the existential quantifier ""su'o"" before the universal quantifier ""ro"", B means that every passerby was given the same copy. Reversing the quantifiers, as in A, gives the intended meaning.",A,"The correct order of quantifiers here is universal followed by existential. Everyone who passed by got a copy, but not everyone got the same copy.

(A) captures this correctly: ""She gave, to everyone who passed by, a copy"".
(B) has the quantifiers in the wrong order: ""There's a copy such that she gave it to everyone who passed by.""",1,,0
jbo_7,51,"Consider the English sentence ""The oil should cover the pan.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) .ei lo grasu gacri lo palne
(B) .ei lo grasu cu gacri lo palne

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",The oil should cover the pan.,.ei lo grasu gacri lo palne,.ei lo grasu cu gacri lo palne,4,,B,"lo grasu gacri parses not as an argument phrase followed by a main predicate, but always as (the beginning of) a single argument phrase. Thus, sentence A lacks a main verb. ""cu"" in B marks ""gacri"" as the main verb, which fits the English sentence.",B,"In (A), ""grasu gacri"" forms an accidental tanru. The use of ""cu"" in (B) avoids this.",1,,0
jbo_8,74,"Consider the English sentence ""I promise you I won't eat any of the meat.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) mi fi do nupre fe lo ka citka no lo rectu
(B) mi do nupre lo ka citka no lo rectu

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",I promise you I won't eat any of the meat.,mi fi do nupre fe lo ka citka no lo rectu,mi do nupre lo ka citka no lo rectu,3,,A,"nupre takes the promise as its second argument and the target of the promise as its third. If the arguments are to be said out of order, they must be explicitly marked with ""fi"" and ""fe"" as in A.",A,"The place structure of ""nupre"" is ""x1 promises/threatens action x2 to x3"".

""do"" (""you"") belongs in the third argument place.

(B) puts ""do"" in the second argument place, which is wrong. (A) places it in the third argument place by using the place tag ""fi"".",1,,0
jbo_9,30,"Consider the English sentence ""Do you know the price of the bread?""
Which of the following is a better translation of this sentence into standard Lojban?

(A) xu do djuno lo jdima be lo nanba
(B) xu do djuno lo du'u ma kau jdima lo nanba

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",Do you know the price of the bread?,xu do djuno lo jdima be lo nanba,xu do djuno lo du'u ma kau jdima lo nanba,5,,B,"The second argument of ""djuno"" must be a proposition or a proposition-like clause containing an indirect question, as in B. In A, ""lo jdima be lo nanba"" refers literally to a number, which makes no sense here.",B,"""know the price of the bread"" is really an indirect question ""know what the price of the bread is"". In Lojban, you can never say the former to mean the latter; ""djuno"" means ""x1 knows fact x2"", so ""djuno lo jdima"" ""know the price"" would mean that ""lo jdima"" (the price) is a fact, but it's not. It's a number. You can't know a number.

The correct way to form indirect questions is to use ""du'u"" and ""kau"", like in (B).",1,,0
jbo_10,103,"Consider the English sentence ""It might rain tomorrow.""
Which of the following is a better translation of this sentence into standard Lojban?

(A) carvi jai cumki fa lo bavlamdei
(B) jai cumki carvi fa lo bavlamdei

Exactly one of the answers above is correct. Please indicate the single letter corresponding to the correct answer (A or B).
Answer:",It might rain tomorrow.,carvi jai cumki fa lo bavlamdei,jai cumki carvi fa lo bavlamdei,2,,A,"In B, the modificand (tertau) of the main predicate is ""carvi"". As the arguments to a compound predicate (tanru) always belong to the modificand, it reads as a heavily metaphorical sentence unrelated to the English: ""In a possible way, tomorrow (the day) will fall to the ground as rain does"". Sentence A is vague but idiomatic: the modificand of the main predicate is ""jai cumki"", where ""jai"" indicates that the surface subject is raised out of the underlying subject, and the entire sentence can be translated as ""Tomorrow is a possibility regarding rain"".",A,"""It might rain"" expresses the possibility that it will rain. The tanru ""jai cumki carvi"" (""possible-rain"") has the place structure of ""carvi"", so (B) claims that it will rain.

To only claim the possibility, ""cumki"" (""possible"") has to be the main predicate.",1,,0
