bacru	x_{1} utters verbally/says/phonates/speaks [vocally makes sound] x_{2}.	- utter
badna	x_{1} is a banana/plantain [fruit/plant] of species/breed x_{2}.	- plantain; banana<br>- banana; fruit or plant
badri	x_{1} is sad/depressed/dejected/[unhappy/feels sorrow/grief] about x_{2} (abstraction).	- dejected<br>- sad<br>- depressed; sad
bajra	x_{1} runs on surface x_{2} using limbs x_{3} with gait x_{4}.	- run
bakfu	x_{1} is a bundle/package/cluster/clump/pack [shape/form] containing x_{2}, held together by x_{3}.	- bundle
bakni	x_{1} is a cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed x_{2}.	- bovine
bakri	x_{1} is a quantity of/contains/is made of chalk from source x_{2} in form x_{3}.	- chalk
baktu	x_{1} is a bucket/pail/can/deep, solid, wide-topped container of contents x_{2}, made of material x_{3}.	- bucket
balji	x_{1} is a bulb [body-part] of plant/species x_{2}; [metaphor: rounded, bulgy].	- bulb
balni	x_{1} is a balcony/overhang/ledge/shelf of building/structure x_{2}.	- balcony
balre	x_{1} is a blade of tool/weapon x_{2}.	- blade
balvi	x_{1} is in the future of/later than/after x_{2} in time sequence; x_{1} is latter; x_{2} is former.	- future; unspecified
bancu	x_{1} exceeds/is beyond limit/boundary x_{2} from x_{3} in property/amount x_{4} (ka/ni).	- is beyond
bandu	x_{1} (event) defends/protects x_{2} (object/state) from threat/peril/potential x_{3} (event).	- protect<br>- defend; non-agentive
banfi	x_{1} is an amphibian of species/breed x_{2}.	- amphibian
bangu	x_{1} is a/the language/dialect used by x_{2} to express/communicate x_{3} (si'o/du'u, not quote).	- language
banli	x_{1} is great/grand in property x_{2} (ka) by standard x_{3}.	- great
banro	x_{1} grows/expands [an increasing development] to size/into form x_{2} from x_{3}.	- grow
banxa	x_{1} is a bank owned by/in banking system x_{2} for banking function(s) x_{3} (event).	- bank
banzu	x_{1} (object) suffices/is enough/sufficient for purpose x_{2} under conditions x_{3}.	- sufficient; for purpose<br>- enough; for purpose<br>- suffice
bapli	x_{1} [force] (ka) forces/compels event x_{2} to occur; x_{1} determines property x_{2} to manifest.	- effective; having the power to produce effects<br>- force
barda	x_{1} is big/large in property/dimension(s) x_{2} (ka) as compared with standard/norm x_{3}.	- big<br>- large
bargu	x_{1} arches/curves over/around x_{2} and is made of x_{3}; x_{1} is an arch over/around x_{2} of material x_{3}.	- arch; shape
barja	x_{1} is a tavern/bar/pub serving x_{2} to audience/patrons x_{3}.	- bar; place
barna	x_{1}(s) is a/are mark(s)/spot(s) on x_{2} of material x_{3}.	- spot; patch on surface<br>- mark
bartu	x_{1} is on the outside of x_{2}; x_{1} is exterior to x_{2}.	- out
basna	x_{1} emphasizes/accentuates/gives emphasis/stress/accent to x_{2} by (action) x_{3}.	- emphasize
basti	x_{1} replaces/substitutes for/instead of x_{2} in circumstance x_{3}; x_{1} is a replacement/substitute.	- replace
batci	x_{1} bites/pinches x_{2} on/at specific locus x_{3} with x_{4}.	- bite
